key,split,image,label,status,num_labels,updated_at
images/train/top_dataset_0000.jpg,train,top_dataset_0000.jpg,labels/train/top_dataset_0000.txt,accepted,0,2026-05-26T19:43:08
images/train/top_dataset_0001.jpg,train,top_dataset_0001.jpg,labels/train/top_dataset_0001.txt,accepted,0,2026-05-26T19:43:09
images/train/top_dataset_0002.jpg,train,top_dataset_0002.jpg,labels/train/top_dataset_0002.txt,accepted,1,2026-05-26T19:43:10
images/train/top_dataset_0003.jpg,train,top_dataset_0003.jpg,labels/train/top_dataset_0003.txt,accepted,0,2026-05-26T19:43:11
images/train/top_dataset_0004.jpg,train,top_dataset_0004.jpg,labels/train/top_dataset_0004.txt,accepted,1,2026-05-26T19:43:11
images/train/top_dataset_0005.jpg,train,top_dataset_0005.jpg,labels/train/top_dataset_0005.txt,accepted,0,2026-05-26T19:43:12
images/train/top_dataset_0006.jpg,train,top_dataset_0006.jpg,labels/train/top_dataset_0006.txt,accepted,1,2026-05-26T19:43:13
images/train/top_dataset_0007.jpg,train,top_dataset_0007.jpg,labels/train/top_dataset_0007.txt,accepted,1,2026-05-26T19:43:14
images/train/top_dataset_0008.jpg,train,top_dataset_0008.jpg,labels/train/top_dataset_0008.txt,accepted,1,2026-05-26T19:43:14
images/train/top_dataset_0009.jpg,train,top_dataset_0009.jpg,labels/train/top_dataset_0009.txt,accepted,1,2026-05-26T19:43:15
images/train/top_dataset_0011.jpg,train,top_dataset_0011.jpg,labels/train/top_dataset_0011.txt,accepted,1,2026-05-26T19:43:16
images/train/top_dataset_0012.jpg,train,top_dataset_0012.jpg,labels/train/top_dataset_0012.txt,accepted,1,2026-05-26T19:43:17
images/train/top_dataset_0014.jpg,train,top_dataset_0014.jpg,labels/train/top_dataset_0014.txt,edited,1,2026-05-26T19:43:25
images/train/top_dataset_0015.jpg,train,top_dataset_0015.jpg,labels/train/top_dataset_0015.txt,accepted,1,2026-05-26T19:43:26
images/train/top_dataset_0016.jpg,train,top_dataset_0016.jpg,labels/train/top_dataset_0016.txt,accepted,1,2026-05-26T19:43:27
images/train/top_dataset_0019.jpg,train,top_dataset_0019.jpg,labels/train/top_dataset_0019.txt,edited,1,2026-05-26T19:43:33
images/train/top_dataset_0020.jpg,train,top_dataset_0020.jpg,labels/train/top_dataset_0020.txt,accepted,1,2026-05-26T19:43:33
images/train/top_dataset_0022.jpg,train,top_dataset_0022.jpg,labels/train/top_dataset_0022.txt,edited,1,2026-05-26T19:43:41
images/train/top_dataset_0023.jpg,train,top_dataset_0023.jpg,labels/train/top_dataset_0023.txt,edited,1,2026-05-26T19:43:49
images/train/top_dataset_0024.jpg,train,top_dataset_0024.jpg,labels/train/top_dataset_0024.txt,edited,1,2026-05-26T19:43:55
images/train/top_dataset_0025.jpg,train,top_dataset_0025.jpg,labels/train/top_dataset_0025.txt,edited,1,2026-05-26T19:44:08
images/train/top_dataset_0026.jpg,train,top_dataset_0026.jpg,labels/train/top_dataset_0026.txt,edited,1,2026-05-26T19:44:21
images/train/top_dataset_0027.jpg,train,top_dataset_0027.jpg,labels/train/top_dataset_0027.txt,edited,1,2026-05-26T19:44:28
images/train/top_dataset_0031.jpg,train,top_dataset_0031.jpg,labels/train/top_dataset_0031.txt,edited,1,2026-05-26T19:44:36
images/train/top_dataset_0032.jpg,train,top_dataset_0032.jpg,labels/train/top_dataset_0032.txt,accepted,1,2026-05-26T19:44:38
images/train/top_dataset_0037.jpg,train,top_dataset_0037.jpg,labels/train/top_dataset_0037.txt,accepted,1,2026-05-26T19:44:39
images/train/top_dataset_0038.jpg,train,top_dataset_0038.jpg,labels/train/top_dataset_0038.txt,edited,2,2026-05-26T19:44:59
images/train/top_dataset_0039.jpg,train,top_dataset_0039.jpg,labels/train/top_dataset_0039.txt,accepted,1,2026-05-26T19:45:02
images/train/top_dataset_0040.jpg,train,top_dataset_0040.jpg,labels/train/top_dataset_0040.txt,edited,2,2026-05-26T19:45:06
